club_id,group_number,club_name,primary_language,city,zipcode,province,country
70,186,SIROCCO,French,HAUT-ITTRE,1461.0,Brabant Wallon,BELGIQUE
71,187,AU PETIT BONHEUR,French,Grâce-Hollogne,4460.0,Liège,BELGIQUE
72,189,FOYER DE THÉMIS,French,Sprimont,4141.0,Liège,BELGIQUE
73,191,LES SCORPIONS,French,WILLAUPUIS,7904.0,Hainaut,BELGIQUE
74,194,LES SPITANTS,French,AMAY,4540.0,Liège,BELGIQUE
75,195,LE KOALA,French,LIEGE,4000.0,Liège,BELGIQUE
76,196,LES OLIVIERS SPORT,French,GRIVEGNEE,4030.0,Liège,BELGIQUE
77,197,L'ESCAPADE,French,HOUDENG-AIMERIES,7110.0,Hainaut,BELGIQUE
78,198,LE CHEVREFEUIL,French,SPA,4900.0,Liège,BELGIQUE
79,203,FUN GYM B/ DANS LES YEUX DE LISA,French,Nivelles,1400.0,Brabant Wallon,Belgique
80,204,C.S. KANGOUROUS,French,JODOIGNE,1370.0,Brabant Wallon,BELGIQUE
81,205,ASCENSION 2,French,POMMEROEUL,7322.0,Hainaut,
82,206,LA SOURIS VERTE,French,MONS,7000.0,Hainaut,
83,207,LES GRILLONS,French,VAUX-SOUS-CHEVREMONT,4051.0,Liège,BELGIQUE
84,209,HAMA II,French,BRUXELLES,1050.0,Brussel/Bruxelles,BELGIQUE
85,210,A.S. AURORE,French,ANDERLUES,6150.0,Hainaut,BELGIQUE
86,211,LES BARRACUDAS,French,RUMES,7610.0,Hainaut,BELGIQUE
87,213,LA PASSERELLE,French,BRUXELLES,1170.0,Brussel/Bruxelles,BELGIQUE
88,214,L'ENVOLÉE,French,HEUSY-VERVIERS,4802.0,Liège,BELGIQUE
89,215,KEGELJAN,French,HAM-SUR-SAMBRE,5190.0,Namur,
90,217,GRAND AXHE,French,WAREMME,4300.0,Liège,
91,219,BOTHEY CLUB,French,GEMBLOUX,5032.0,Namur,
92,221,INSTITUT DU BON PASTEUR,French,BURY,7602.0,Hainaut,BELGIQUE
93,222,CENTRE DE VIE,French,BRUXELLES,1090.0,Brussel/Bruxelles,BELGIQUE
94,223,STARTEMIA,French,ETTERBEEK,1040.0,Brussel/Bruxelles,
95,224,LE GARDIAN V3,French,CHAPOIS -LEIGNON,5590.0,Namur,BELGIQUE
96,227,TOMA STENA,French,BLEGNY,4670.0,Liège,
97,229,DREAM TEAM,French,BRUXELLES,1180.0,Brussel/Bruxelles,BELGIQUE
98,231,LE MAGNOLIA,French,HAUTRAGE,7334.0,Hainaut,
99,232,ORFEA,French,ETTERBEEK,1040.0,Brussel/Bruxelles,
100,233,LES PETUNIAS,French,BRUXELLES,1050.0,Brussel/Bruxelles,BELGIQUE
101,234,CONFORT SOCIAL,French,PERUWELZ,7600.0,Hainaut,
102,235,LES FOUGERES,French,BRUXELLES,1170.0,Brussel/Bruxelles,BELGIQUE
103,236,LA MAISON D'EMERAUDE,French,ARVILLE,6870.0,Luxembourg,
104,237,EMBARQUEMENT IMMEDIAT,French,SERAING,4100.0,Liège,BELGIQUE
105,238,LE VILLAGE,French,COMINES,7780.0,Hainaut,BELGIQUE
106,241,MISTRAL SPORT,French,SAINT-GEORGES-SUR-MEUSE,4470.0,Liège,BELGIQUE
107,242,C.S. LES TCHANTCHES,French,GRIVEGNEE,4030.0,Liège,BELGIQUE
108,243,LES RENES DE LA VIE,French,LA HULPE,1310.0,Brabant Wallon,Belgium
109,245,EQUISTAL,French,BORNIVAL,1404.0,Brabant Wallon,
110,246,LE COUP FRANC,French,SART-RISBART,1315.0,Brabant Wallon,BELGIQUE
111,248,I.S.B.,French,BOITSFORT,1170.0,Brussel/Bruxelles,BELGIQUE
112,249,ROQUEBRUNE,French,NAMUR,5000.0,Namur,BELGIQUE
113,251,LES PETITS GODETS,French,CARNIERES,7141.0,Hainaut,BELGIQUE
114,252,LA FORET,French,BRUXELLES,1150.0,Brussel/Bruxelles,BELGIQUE
115,253,LES WEIGELIAS,French,BRUXELLES,1170.0,Brussel/Bruxelles,BELGIQUE
116,254,HADEP,French,BRUXELLES,1190.0,Brussel/Bruxelles,BELGIQUE
117,255,SAPI-CHAPELLE,French,CHAPELLE-LEZ-HERLAIMONT,7160.0,Hainaut,
118,256,LES QUATRE SAISONS,French,AMBLY,6953.0,Luxembourg,BELGIQUE
119,258,LES ALIZES,French,MEMBACH (BAELEN),4837.0,Liège,BELGIQUE
120,259,COLIBRIS CLUB,French,OPHAIN BOIS SEIGNEUR ISAAC,1421.0,Brabant Wallon,BELGIQUE
121,260,L'ENTRE DEUX,French,NANDRIN,4550.0,Liège,BELGIQUE
122,261,LES LAPINS BLEUS,French,ALLE S/ SEMOIS,5550.0,Namur,BELGIQUE
123,262,ENVOL (LE DIARBOIS),French,JUMET,6040.0,Hainaut,BELGIQUE
124,263,SAPI-TEAM,French,MASNUY-St-JEAN,7050.0,Hainaut,
125,267,ASBL ESSENTIEL,French,LASNE,1380.0,Brabant Wallon,
126,268,DYNAMISPORT,French,BRAINE L'ALLEUD,1420.0,Brabant Wallon,BELGIQUE
127,271,LE TOURNESOL SPORTIF,French,ESTAIMPUIS,7730.0,Hainaut,BELGIQUE
128,272,LE PETIT PRINCE DE COURCELLES,French,COURCELLES,6180.0,Hainaut,BELGIQUE
129,273,SAJA SOLIGNAC,French,HAMOIS (SCHALTIN),5364.0,Namur,BELGIQUE
130,274,TABUCHET SPORT,French,Liège,4000.0,Liège,Belgique
131,275,LA SYMPHONIE,French,SAINT-SYMPHORIEN,7030.0,Hainaut,BELGIQUE
132,279,HAMA 1,French,BRUXELLES,1030.0,Brussel/Bruxelles,BELGIQUE
133,281,RESIDENCE ÉLYSÉE,French,MONT-SAINT-AUBERT,7542.0,Hainaut,BELGIQUE
134,282,LA CASSINE,French,Flobecq,7880.0,Hainaut,BELGIQUE
135,284,L'AIR DE PAIX,French,FRAMERIES,7080.0,Hainaut,BELGIQUE
136,285,LA BASTIDE,French,NAMUR,5000.0,Namur,BELGIQUE
137,286,JUDO CLUB WELLIN ASBL,French,WELLIN,6920.0,Luxembourg,BELGIQUE
138,287,HOCKEY TOGETHER PINGOUIN NIVELLES,French,Nivelles,1400.0,Brabant Wallon,
139,288,LE JARDIN DES ANGES,French,DOUR,7370.0,HAINAUT,
140,289,NEW MOBILITY CLUB SPORTIF DE MOUSCRON,French,MOUSCRON,7700.0,Hainaut,
141,290,LOTUS D'OCQUIER,French,OCQUIER,4560.0,Liège,
142,291,LES DALTONS,French,Quevy-Le-Grand (Mons),7040.0,HAINAUT,
143,292,CARPE DIEM ASBL,French,Jambes,5100.0,Namur,
144,293,LES 3 SAPINS,French,Mignault,7070.0,Hainaut,Belgium
145,294,LA SAPINIERE DE QUAREGNON,French,Quaregnon,7390.0,Hainaut,Belgium
146,296,KANO JC TOURNAI,French,NECHIN,7730.0,Hainaut,
147,297,FOYER DU CALYDON,French,Liège,,Liège,
148,298,CERCLE ADAPTE ANDENNAIS,French,Andenne,5300.0,Namur,
149,299,A.C.I.S. SOLEIL LEVANT,French,Montignies - sur - Samble,6061.0,Hainaut,Belgique
150,300,LE CHAF ASBL,French,FARCIENNES,6240.0,Hainaut,BELGIQUE
151,302,LE GRIMOIRE,French,TRANSINNE,6890.0,Luxembourg,BELGIQUE
152,303,LES 3 FÉES,French,SPA,4900.0,Liège,BELGIQUE
153,304,LES DRAGONS,French,GHLIN,7011.0,Hainaut,BELGIQUE
154,306,MAISON DES PILIFS,French,BRUXELLES,1120.0,Brussel/Bruxelles,
155,307,JOSO ASBL,French,IXELLES,1050.0,Brussel/Bruxelles,
156,308,LA CARAVELLE,French,Peronnes - Lez - Antoing,7640.0,Hainaut,Belgique
157,309,LA RENAISSANCE,French,Mons,7000.0,Hainaut,Belgique
158,310,VISÉ - CENTRE DE CERFONTAINE,French,HACCOURT,4684.0,Liège,
159,311,CHEVAL ET FORET,French,Auderghem,1160.0,Brussel/Bruxelles,Belgique
160,312,FAGN' HANDISPORTS ASBL,French,Spa,4900.0,Liège,Belgique
161,314,LIFE BADMINTON LE ROEULX,French,Le Roeulx,7070.0,Hainaut,
162,315,ECOLE NOS PILIFS,French,Laeken,1020.0,Brussel/Bruxelles,Belgique
163,316,LA CADOLE ASBL,French,Bonsecours,7603.0,Hainaut,Belgique
164,317,CTM - CAROLO TEAM MARCINELLE,French,Marcinelle,6001.0,Hainaut,Belgique
165,318,L'ECHALIER,French,Cerexhe - Heuseux,4632.0,Liège,Belgique
166,319,ASBL L'ETOILE FILANTE,French,Péruwelz,7600.0,Hainaut,Belgium
167,321,ACBBH,French,Blaton,7321.0,Hainaut,Belgique
168,322,ACBB,French,Blaton,7321.0,Hainaut,Belgium
169,323,LA GARENNE,French,Wiers - Péruwelz,7608.0,Hainaut,Belgium
170,324,LES VELDEMANNEKES,French,BRUSSEL,1140.0,Brussel/Bruxelles,BELGIË
171,325,ALL STARS,French,Strambruges,7973.0,Hainaut,Belgique
172,326,LE PART'AGE,French,Estaimpuis,7730.0,Hainaut,Belgique
173,327,LE PAYS DE COCAGNE,French,Mons,7000.0,Hainaut,Belgique
174,328,16 ÂMES,French,ORCQ,7501.0,Hainaut,Belgique
175,329,L'ACCUEIL MOSAN ASBL,French,Namur,5000.0,Namur,Belgium
176,330,LA BOULAIE,French,Chimay,6460.0,Hainaut,Belgique
177,331,SAPI BL'A,French,Braine L'Alleud,1420.0,Babant Wallon,Belgique
178,332,B.C. CLERFAYT,French,Hainaut,,Wallonie,Belgique
179,333,EESSCF - LES PEUPLIERS,French,Marloie,6900.0,Luxembourg,Luxembourg
180,334,LE NIDVELLES° (LE COLOMBIER 2),French,Nivelles,1400.0,Brabant-Wallon,Belgium
181,335,ASCENSION ERQUELINNES,French,Erquelinnes,6560.0,Hainaut,Belgium
182,336,LONCIN AU PETIT BONHEUR,French,LONCIN,4431.0,Liège,Belgium
183,338,C GO GYM,French,Mouscron,7700.0,Hainaut,Belgique
184,339,CIGALINE,French,Merbes-Le-Château,6567.0,Hainaut,Belgique
185,340,WOLFHANDI RACLO,French,La Louvière,7100.0,Hainaut,Belgique
186,341,JUDO TOP NIVEAU TOURNAI,French,Tournai,7500.0,Hainaut,Belgium
187,342,AU FOYER DE CASSIOPEE,French,STOUMONT,4987.0,Liège,Belgique
188,343,HOCKEY TOGETHER,French,Uccle,1180.0,Bruxelles,Belgique
